Business Name,Type,Area,Contact Name,Phone,Email,Instagram,First Contact Date,Follow-Up Date,Status,Package Interest,Lead Source,Next Action,Notes
Example Daycare,Daycare,Doral,,,,,2026-06-10,2026-06-12,New lead,Event Visit,Schools and daycares page,Send DM,Ask about Christmas in July or December event
Example HOA,Residential Community,Miami Lakes,,,,,2026-06-10,2026-06-12,New lead,Event Visit,HOA and apartments page,Find event contact,Ask who handles holiday events
Example Pet Groomer,Pet Business,Kendall,,,,,2026-06-10,2026-06-12,New lead,Event Visit,Partner page,Pitch partnership,Pitch pet photos with Santa
Example Church,Church,Hialeah,,,,,2026-06-10,2026-06-12,New lead,Nonprofit / Toy Drive,Events page,Send email,Pitch toy drive and novena visit
Example Photographer,Family Photographer,Doral,,,,,2026-06-10,2026-06-12,New lead,Event Visit,Partner page,Send partner page,Pitch Santa mini-sessions
Example Balloon Decorator,Party Vendor,Sweetwater,,,,,2026-06-10,2026-06-12,New lead,Event Visit,Partner page,Pitch referral partnership,Ask about holiday setups and client add-ons
Example Cafe,Restaurant / Cafe,Coral Gables,,,,,2026-06-10,2026-06-12,New lead,Event Visit,Partner page,Send partner page,Pitch Santa brunch or family photo pop-up
Woof Gang Bakery & Grooming Doral,Pet Business,Doral,,305-905-4020,doral@woofgangbakery.com,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send email,Pet bakery and grooming traffic with strong local pet-parent fit
Bark Square,Pet Business,Doral,,786-401-7748,info@barksquare.com,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send email,Indoor dog hotel daycare and grooming space fits Santa Paws pop-up
KOOLANDKUTE Doral,Pet Groomer,Doral,,786-960-6068,,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send contact form,Modern Doral groomer with repeat pet-parent traffic
Pet Supermarket Doral,Pet Store,Doral,,786-761-5080,,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Call store manager,High-foot-traffic pet retail location for a short photo event
Petco Doral,Pet Store,Doral,,305-513-8464,,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Call grooming manager,Petco grooming and store traffic fits a weekend Santa Paws activation
The Pet Care Clinic of Doral,Veterinary / Boarding,Doral,,305-477-7387,,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send contact form,Vet boarding and grooming services fit a client-appreciation photo day
Doggie Bakery Miami,Pet Bakery,Miami,,,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send contact form,Vet-founded dog treat brand with community-friendly event angle
Doggie Bag Cafe & Pet Boutique,Pet Cafe / Boutique,Miami,,305-710-7266,es@doggiebagcafe.com,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send email,Party packages and events language makes partnership fit clear
The Dog Bar,Pet Boutique,Miami Beach,,305-532-5654,customerservice@dogbar.com,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send email,Established Miami Beach pet boutique with grooming and strong gift traffic
PAWS4you Rescue,Animal Rescue,Miami,,305-253-1092,info@paws4you.org,,,New lead,Pet Photos with Santa,Pet photos with Santa page,Send email,Adoption-event audience is a good fit for Santa fundraiser photos
Key Point Academy Doral,Preschool / Daycare,Doral,,786-212-1273,info.doral@keypointschools.com,,,New lead,Christmas in July School Visit,Schools and daycares page,Send email,STEAM preschool with admissions contact and summer-camp fit for bilingual Santa story time
World of Kids Academy,Preschool / Childcare / Elementary,Doral,,305-593-7010,info@worldofkidsacademy.com,,,New lead,Christmas in July School Visit,Schools and daycares page,Send email,Private Doral school serving infants through elementary with clear family-event fit
Kids' Corner Child Development Center,Child Development Center,Doral,,305-477-7551,info@kidscornerflorida.com,,,New lead,Christmas in July School Visit,Schools and daycares page,Send email,Active Doral center with summer program and online tour path
KLA Schools of Doral,Preschool / Summer Camp,Doral,,305-418-9000,admissionsdoral@klaschools.com,,,New lead,Christmas in July Camp Pop-In,Schools and daycares page,Send email,Enrollment-open preschool with active summer camp and director contact paths
Cadence Academy Preschool Doral,Preschool,Doral,,786-885-6200,,,,New lead,December Photo Day,Schools and daycares page,Call or contact form,Large Doral preschool with tour scheduling and strong weekday family traffic
Wise Choice Summer Camp at Albizu University,Summer Camp,Doral,,305-630-3600,info@wisechoicesummercamp.com,,,New lead,Christmas in July Camp Visit,Schools and daycares page,Send email,Live summer camp season makes a Santa pop-in timely and easy to picture
Little Village Child Care & Learning Center,Child Care / Summer Camp,Miami,,305-207-7220,littlevillagegf@gmail.com,,,New lead,Christmas in July School Visit,Schools and daycares page,Send email,Flagler-area center serving infants to 12 years old with summer camp operations
Shine Bright Academy,Preschool / Camp,Hialeah,,305-456-4505,,,,New lead,Christmas in July Camp Visit,Schools and daycares page,Call or contact form,Hialeah bilingual preschool with year-round camp programs and family audience
Doral Preschool,Preschool / Child Care,Doral,,305-718-9520,DoralPreschool@gmail.com,,,New lead,Christmas in July School Visit,Schools and daycares page,Send email,APPLE-accredited bilingual Doral preschool with VPK and camp language on site
Coloring Dreams Preschool Doral,Preschool / Seasonal Programs,Doral,,786-762-1807,,,,New lead,Christmas in July Story Time,Schools and daycares page,Call or contact form,Doral preschool promoting seasonal programs and inquiry path for family events
