Business Name,Lead Type,Area,Offer Angle,Public Website,Suggested First Message,Status,Next Action,Source
Key Point Academy Doral,Preschool / Summer Camp,Doral,Story time and photo visit,https://keypointacademydoral.com/,"Ask who plans camp and holiday activities. Send schools/daycares page.",New lead,Use public contact page or admissions phone,Public website/search result
KLA Schools of Doral,Preschool / Daycare,Doral,School or daycare Santa visit,https://www.klaschools.com/doral,"Mention bilingual Santa visit for children and holiday photo moment.",New lead,Use contact form,Public website/search result
World of Kids Academy,Summer Camp / Preschool,Doral,Christmas-in-July camp activity,https://worldofkidsacademy.com/programs/summer-camp/,"Ask if a short bilingual Summer Santa visit could fit a theme day.",New lead,Use public contact page,Public website/search result
Kidzone Learning Center,Preschool / Summer Camp,Doral,Christmas-in-July daycare visit,https://kidzone-learningcenter.com/,"Ask who plans summer and holiday activities. Send booking page.",New lead,Use public contact page,Public website/search result
Cadence Academy Preschool Doral,Preschool,Doral,Year-round preschool holiday visit,https://www.cadence-education.com/locations/fl/doral/780/,"Ask about a warm bilingual Papa Noel visit for children and families.",New lead,Use public contact path,Public website/search result
Cento Doral,Preschool,Doral,Reggio-style school photo/story visit,https://cento-doral.com/,"Mention child-centered Santa story/photo visit and ask who plans events.",New lead,Use contact form,Public website/search result
Little Hands On Learning,Daycare / Preschool,Doral,Daycare photo and greeting visit,https://www.allinmiami.com/blog/daycares-in-doral,"Use directory listing to research official contact, then send school/daycare DM.",Research lead,Find official website/contact,Directory listing
Wings Learning Center,Daycare / Preschool,Doral,Daycare holiday visit,https://www.allinmiami.com/blog/daycares-in-doral,"Use directory listing to research official contact, then send school/daycare DM.",Research lead,Find official website/contact,Directory listing
The Joy of Learning,Preschool,Doral,Family-owned preschool Santa visit,https://www.allinmiami.com/blog/daycares-in-doral,"Use directory listing to research official contact, then send school/daycare DM.",Research lead,Find official website/contact,Directory listing
The Learning Steps,Daycare,Doral,Daycare Santa story/photo visit,https://winnie.com/doral-fl/summer-care,"Use listing to research official contact and ask about camp/holiday activities.",Research lead,Find official website/contact,Directory listing
Future Kids,Daycare,Doral,Daycare family event visit,https://winnie.com/doral-fl/summer-care,"Use listing to research official contact and ask who plans family activities.",Research lead,Find official website/contact,Directory listing
City of Doral Parks and Recreation Camps,City Camp,Doral,Christmas-in-July camp enrichment,https://www.cityofdoral.com/Departments/Parks-and-Recreation/Camps,"Ask who handles camp enrichment or special guest activities.",New lead,Find parks/camp contact,Public website/search result
J Academy Miami Summer Camp,Camp,Doral,Summer Santa special guest,https://www.cityofdoral.com/Departments/Parks-and-Recreation/Camps,"Ask whether a short Christmas-in-July Santa appearance could fit camp programming.",New lead,Use camp info listed on City of Doral page,Public website/search result
Doral Soccer Club Summer Camp,Sports Camp,Doral,Camp photo/mascot-style visit,https://www.cityofdoral.com/Departments/Parks-and-Recreation/Camps,"Ask whether a fun holiday-themed guest visit could fit camp activities.",New lead,Find camp contact path,Public website/search result
Villa Doral Master Homeowners Association,HOA,Doral,Resident photo pop-up / clubhouse event,https://websites.vertilinc.com/villadoral/,"Ask who handles resident events and holiday clubhouse activities.",New lead,Use public management/contact info,Public website/search result
Village of Doral Lakes HOA,HOA,Doral,Resident event Santa visit,https://web.mmilive.net/villageofdorallakes/Home.aspx,"Ask management office who plans holiday/resident events.",New lead,Use public management office contact path,Public website/search result
New Horizons Property Management Solutions,HOA / Condo Management,Doral,Managed-community holiday vendor,https://www.newhorizonspropertymgmtsol.com/hoa-management-companies-condo-association-management-doral-fl/,"Ask if managed associations need Santa for clubhouse or family events.",New lead,Use contact form,Public website/search result
Campbell Property Management,Property Management,South Florida,HOA resident events,https://www.campbellpropertymanagement.com/,"Ask whether lifestyle/community managers need Santa vendors for holiday events.",New lead,Use public contact path,Public website/search result
FirstService Residential Florida,Property Management,South Florida,Resident holiday event vendor,https://www.fsresidential.com/florida/news-events/events-seminars/,"Ask for resident-event or lifestyle vendor contact path.",New lead,Find vendor/contact path,Public website/search result
PMI Brickell Doral Association Management,Property Management,Doral / Miami,HOA holiday event vendor,https://www.miamiassociationmanagement.com/doral-association-management,"Ask about Santa options for community events and holiday parties.",New lead,Use contact form,Public website/search result
M Suarez Photography,Family Photographer,Miami,Christmas mini-session Santa partner,https://msuarezphotography.com/lifestyle/family-portraits/christmas-mini-sessions-miami/,"Pitch photo-ready Santa as an add-on for holiday minis.",New lead,Use public contact page,Public website/search result
Kamy Photographie,Family Photographer,Miami,Holiday mini-session partner,https://kamyphotographie.com/miami-family-mini-sessions/,"Pitch warm bilingual Santa for family mini sessions.",New lead,Use public contact page,Public website/search result
Vanessa and Johnny Photography,Family Photographer,Miami-Dade / Broward,Holiday minis Santa partner,https://www.vanessaandjohnny.com/2025minis,"Pitch Santa as a limited add-on for family holiday sessions.",New lead,Use public contact path,Public website/search result
The Loving Lens Photos,Family Photographer,Miami,Christmas mini-session Santa partner,https://www.thelovinglensphotos.com/blog/christmas-mini-sessions-in-miami/,"Mention their holiday sessions and offer a Santa add-on or referral.",New lead,Use public contact page,Public website/search result
South Florida Photography,Santa / Christmas Photographer,Miami,Santa mini-session cross-referral,https://sflphoto.com/post/christmas-mini-sessions-season-2024-in-miami/1176,"Pitch overflow referral or Santa appearance support.",New lead,Use public contact path,Public website/search result
Tova Photography,Family Photographer,Miami,At-home holiday photo partner,https://tovaphotography.com/edgewater-family-photographer-mini-session/,"Pitch Santa for at-home or holiday family sessions.",New lead,Use public contact path,Public website/search result
Tiny Hearts Studio,Newborn / Family Photographer,Doral,Family holiday photo partner,https://www.tinyheartsphoto.com/home-1,"Pitch gentle Santa photo add-on for families with young children.",New lead,Use public contact path,Public website/search result
My Party Miami,Party Planner / Decorator,Miami,Party vendor referral partner,https://www.instagram.com/myparty.miami/,"Pitch Santa add-on for decorated family events and holiday parties.",New lead,Send Instagram DM,Public social profile/search result
Dreamark Events,Event Decoration,South Florida,Decor/backdrop partner,https://www.dreamarkevents.com/,"Pitch Santa as an add-on for themed holiday decor setups.",New lead,Use public contact path,Public website/search result
The Miami Balloon Guy,Party Decorator / Balloon Entertainment,Miami-Dade,Holiday balloon decor + Santa bundle,https://www.ineventos.com/fl-en/party-decorations,"Use directory listing to identify official contact and pitch referral partnership.",Research lead,Find official website/contact,Directory listing
Yupiday,Soft Play / Party Decor,Miami-Dade,Kids party Santa add-on,https://www.ineventos.com/fl-en/party-decorations,"Use directory listing to identify official contact and pitch family-party Santa add-on.",Research lead,Find official website/contact,Directory listing
Jumpin' Jamboree Doral,Kids Venue / Camp,Doral,Christmas-in-July photo visit,https://jumpinjamboree.com/kids-summer-camp-doral/,"Ask about a camp special guest or photo pop-up.",New lead,Use public contact page,Public website/search result
Doral Pet Care Grooming Salon,Pet Business,Doral,Pet photos with Santa,https://www.doralpetcare.com/doral-florida-dog-grooming,"Pitch pet photos with Santa for summer or December.",New lead,Use public contact page,Public website/search result
Woof Gang Bakery and Grooming Doral,Pet Store / Groomer,Doral,Pet photos with Santa,https://woofgangbakery.com/pages/locations/doral,"Pitch Christmas-in-July or December pet photo pop-up.",New lead,Use store contact path,Public website/search result
Petco Dog Grooming Doral,Pet Grooming,Doral,Pet photo day,https://stores.petco.com/fl/doral/full-service-grooming-doral-fl-1539.html,"Ask if local store events or pet photo days are planned.",New lead,Call store or find local contact,Public website/search result
